City_ID,province,prefecture_cn,match_key,source_prefecture,index_2000,index_2010,index_2020,z_2000,z_2010,z_2020,source_2000,source_2010,source_2020,quality,note
27,Gansu,白银市,白银,白银,2.267918293,1.184171651,0.42374707,0.880484357975886,0.32335998490515366,0.11738872447078363,trimmed,trimmed,trimmed,trimmed,
28,Gansu,定西市,定西,定西,4.991797345,4.023872909,2.580033849,2.111198887584025,1.740577800311456,1.1496020324855432,trimmed,trimmed,trimmed,trimmed,
29,Gansu,甘南藏族自治州,甘南,甘南,3.143409915,2.866409626,3.032744449,1.2760526777052292,1.1629192946059708,1.3663143504157484,trimmed,trimmed,trimmed,trimmed,
33,Gansu,兰州市,兰州,兰州,-0.783241998,-1.226359441,-1.238685116,-0.4981037623519682,-0.8796706502889409,-0.6784166585483867,trimmed,trimmed,trimmed,trimmed,
34,Gansu,临夏回族自治州,临夏,临夏,5.712674403,5.193761158,5.616887804,2.436908602444657,2.324437269277218,2.6033423685933386,trimmed,trimmed,trimmed,trimmed,
36,Gansu,平凉市,平凉,平凉,4.084808751,2.835422142,1.54212475,1.701399473030336,1.1474542824834113,0.652755511451706,trimmed,trimmed,trimmed,trimmed,
37,Gansu,庆阳市,庆阳,庆阳,3.733942771,2.447568954,0.661791845,1.5428697250908527,0.9538872844595191,0.23134062875891873,trimmed,trimmed,trimmed,trimmed,
38,Gansu,天水市,天水,天水,3.95286443,2.702043683,2.424364737,1.6417838330353263,1.0808887140970485,1.0750833132603763,trimmed,trimmed,trimmed,trimmed,
39,Gansu,武威市,武威,武威,2.977770746,3.368073602,1.752970921,1.2012128892752554,1.413286167576085,0.7536874588019965,trimmed,trimmed,trimmed,trimmed,
97,Henan,安阳市,安阳,安阳,1.029645368,1.506461361,1.309284642,0.32100265877969514,0.4842060307514772,0.5412950784249569,trimmed,trimmed,trimmed,trimmed,
